row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,ViT-B_32_clip,ViT-L_14_clip,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
levit_128_classification,9.896340373766757,10.242679380610022,8.937557814581718,9.804836973953934,9.460033523316287,9.406304826099642,9.808424285196931,9.911553499708033,10.18408316775323,10.089987296544669,9.88765844890333,9.38025599326078,10.400967491318738,9.691747893197208,9.975307082951726,9.72282476272675,10.116919493339449,9.389901828749675,9.400676265678769,10.088507876754482,0.0,10.068572097578288,9.523789673594392,9.633339311433431,9.62185274811944,9.740694719554009,9.652319545203532,9.045802713938093,10.024542896598415,9.482188561512128,9.249688324122053,9.027069523679602,9.020355845409313
mobilenetv3_large_100_classification,10.323167563830076,10.751802709582805,9.032054684259911,10.290044534732829,10.043734718691326,9.73452753913,10.204152036376142,10.050700231072726,10.666052372645169,10.61626758738342,10.465646530625794,9.803421453642578,10.844903834923594,9.921756061180998,10.31875574690996,9.932547720025868,10.81980384880031,9.999661531445737,10.198044394402713,10.403461371620224,10.068572097578288,0.0,9.85849056407625,10.187079686273943,10.013936356890468,10.091670470436382,10.114469450205611,9.542588369954808,10.410672019067112,9.930998658601077,9.556207847604451,9.588840433970049,9.555879456377928
nf_resnet50_classification,9.87960099125813,10.103401790510354,8.534654700081488,9.61832303383547,9.260894044924775,9.229262850623234,9.65577076459308,9.693922530582688,9.8015570977501,9.811573466508726,9.581151636301508,9.252600948983591,10.021889349520706,9.393548908730295,9.915461422920362,9.423531135514535,9.957155225970562,9.31644360890429,9.296605175523444,9.724697978705109,9.523789673594392,9.85849056407625,0.0,9.333813345172173,9.57133761337461,9.56543319643026,9.584778433440968,9.020740571087154,9.648491841249266,9.358999913412289,9.110508908689605,8.999805546514537,9.116954339694358
pit_ti_224_classification,9.69339487613716,10.108153789946964,9.006480370060796,9.902551048265016,9.881660847593457,9.579816733328396,9.830746380355407,9.683277647063582,10.437560346792653,10.267249658866772,10.297528262547887,9.678529063848698,10.313600305927109,9.76982772769435,9.703279965436687,9.753977545248556,10.27729708292606,9.366122295874115,9.627321814491728,10.223191333885008,9.633339311433431,10.187079686273943,9.333813345172173,0.0,9.55298113545238,9.526993443819666,9.574116902238124,9.425130466152554,10.258637528979811,9.757797887424626,9.302503493332798,9.49323477310577,9.381501559921706
resnet50_classification,9.820331816853113,10.16295845543668,8.7532786018224,9.759336976965017,9.515047576801043,9.29601193935816,9.702819370557709,9.72132491412599,9.969745409443624,9.937038981608293,9.812339838352184,9.29085164984723,10.16295845543668,9.439657434094926,9.941927662992711,9.471187799488122,10.0348368081967,9.466980048770685,9.475654882867708,9.823026248736912,9.62185274811944,10.013936356890468,9.57133761337461,9.55298113545238,0.0,9.68154623888162,9.507325092957188,9.058899527664687,9.865444253109136,9.417065860646758,9.155459453491106,9.129598493944128,9.085887938806508
semnasnet_100_classification,9.893527027596908,10.14832691966818,8.75607149378326,9.720816143801873,9.391037661768468,9.324030189686452,9.691443846501096,9.746897487449662,9.991896726499254,9.94815717702123,9.738766659173915,9.392780431306372,10.177859370452346,9.560359923565285,9.95306922882651,9.56619891443871,10.08566037547518,9.529727421241454,9.586909104094724,9.825157893238387,9.740694719554009,10.091670470436382,9.56543319643026,9.526993443819666,9.68154623888162,0.0,9.746389415000882,9.137046340333349,9.82907527498569,9.433987510035228,9.237031719253558,9.112097475331522,9.103218336878369
swin_large_patch4_window7_224_classification,10.25765225167912,10.421252397080336,8.565018644820913,9.676287451770254,9.390924478360246,9.257672673439131,9.642686791685067,9.694882979189108,10.15778267989288,10.179256764949873,9.819015487084409,9.513960009265816,10.421218153573546,9.633484260564876,9.974124018268418,9.615119123292422,10.25086453032749,9.439716839199647,9.643256562587569,9.970427522926665,9.652319545203532,10.114469450205611,9.584778433440968,9.574116902238124,9.507325092957188,9.746389415000882,0.0,9.251277904101578,9.899520889625462,9.498797167547067,9.25364139437258,9.164929989471824,9.117046186310606
tnt_s_patch16_224_classification,9.343381768687085,9.566029886443271,8.457115979599012,9.328727969620344,9.177411750350442,9.14072687144689,9.358198801508877,9.259008543811174,9.640049271161397,9.615333457496902,9.444229583013088,9.339309221011906,9.6400492711614,9.3974362602444,9.3201705237323,9.392454907145662,9.573326122062504,8.927667595448847,9.147690116110764,9.606926317472295,9.045802713938093,9.542588369954808,9.020740571087154,9.425130466152554,9.058899527664687,9.137046340333349,9.251277904101578,0.0,9.484293588524336,9.363513539036846,9.045651456431674,9.054689257268702,9.072968480166324
visformer_small_classification,10.027475816299422,10.47958474503408,9.16515152244232,10.17077403550077,9.987283217962029,9.821744866389064,10.134084754896197,9.971613182898944,10.722157535973514,10.550954232714052,10.48694642511059,9.857973706418496,10.691159283136312,10.025390687774628,9.989259605423207,10.057098713672348,10.664780326041166,9.581211627593875,9.83101052727992,10.590501106434232,10.024542896598415,10.410672019067112,9.648491841249266,10.258637528979811,9.865444253109136,9.82907527498569,9.899520889625462,9.484293588524336,0.0,9.863157589155488,9.426738694242268,9.566221723689107,9.52703959615526
vit_base_patch16_224_classification,9.701681468105429,10.031094092123707,8.736378281886793,9.75967719935962,9.59042717875346,9.44592883863274,9.784592493405109,9.661447888271889,10.14626977597827,10.130229558439652,9.863820210861348,9.59136764713277,10.146269775978269,9.673065359097116,9.69547369979792,9.66465392006561,9.96512430546797,9.26026942075842,9.461836127137737,10.011490872592292,9.482188561512128,9.930998658601077,9.358999913412289,9.757797887424626,9.417065860646758,9.433987510035228,9.498797167547067,9.363513539036846,9.863157589155488,0.0,9.395700541652538,9.27876368201342,9.293195409546987
vit_base_patch32_224_classification,9.40417875605543,9.63506761789356,8.493934362604477,9.343440340461912,9.114427988177985,9.094254227241551,9.384005033095413,9.354781818717573,9.664520681369853,9.61199355418888,9.371415426459286,9.234491109952348,9.664520681369854,9.35893120829424,9.416990397503678,9.341454316476968,9.547573123962296,9.030440833803176,9.148843677914764,9.546171852580535,9.249688324122053,9.556207847604451,9.110508908689605,9.302503493332798,9.155459453491106,9.237031719253558,9.25364139437258,9.045651456431674,9.426738694242268,9.395700541652538,0.0,8.91094034638048,8.915159929163934
xcit_nano_12_p16_224_classification,9.304747921128149,9.59616190935833,8.515253476513825,9.365414637652782,9.206042668754362,9.120859979445646,9.315397567111672,9.212169756318138,9.710833515988536,9.637156283202708,9.551411908903187,9.222073780067277,9.64305206817282,9.219173052065216,9.266365522776386,9.23199226051062,9.604445736269644,8.98749727399769,9.184934484325495,9.606289224881296,9.027069523679602,9.588840433970049,8.999805546514537,9.49323477310577,9.129598493944128,9.112097475331522,9.164929989471824,9.054689257268702,9.566221723689107,9.27876368201342,8.91094034638048,0.0,9.17352923244802
xcit_nano_12_p8_224_classification,9.317803846335236,9.583167679851549,8.39478680723302,9.346812367943071,9.196490890467697,9.154726240071367,9.409389359521082,9.239622061693984,9.665816816382089,9.635562774012188,9.527636441339316,9.288618221511248,9.624956999181729,9.266416614807296,9.270887089364075,9.3053113713666,9.641499429017056,8.954682153515781,9.09861919425582,9.623635022769694,9.020355845409313,9.555879456377928,9.116954339694358,9.381501559921706,9.085887938806508,9.103218336878369,9.117046186310606,9.072968480166324,9.52703959615526,9.293195409546987,8.915159929163934,9.17352923244802,0.0
