model_name,layer_index,pc_index,alpha
semnasnet_100_classification,270,15,202358.96477251555
semnasnet_100_classification,270,16,202358.96477251555
semnasnet_100_classification,270,17,202358.96477251555
semnasnet_100_classification,270,18,429193.42601287784
semnasnet_100_classification,270,19,202358.96477251555
semnasnet_100_classification,270,20,202358.96477251555
semnasnet_100_classification,270,21,429193.42601287784
semnasnet_100_classification,270,22,429193.42601287784
semnasnet_100_classification,270,23,910298.1779915227
semnasnet_100_classification,270,24,429193.42601287784
semnasnet_100_classification,270,25,429193.42601287784
semnasnet_100_classification,270,26,910298.1779915227
semnasnet_100_classification,270,27,429193.42601287784
semnasnet_100_classification,270,28,429193.42601287784
semnasnet_100_classification,270,29,202358.96477251555
semnasnet_100_classification,270,30,429193.42601287784
semnasnet_100_classification,270,31,429193.42601287784
semnasnet_100_classification,270,32,429193.42601287784
semnasnet_100_classification,270,33,202358.96477251555
semnasnet_100_classification,270,34,429193.42601287784
semnasnet_100_classification,270,35,202358.96477251555
semnasnet_100_classification,270,36,429193.42601287784
semnasnet_100_classification,270,37,910298.1779915227
semnasnet_100_classification,270,38,202358.96477251555
semnasnet_100_classification,270,39,202358.96477251555
semnasnet_100_classification,270,40,429193.42601287784
semnasnet_100_classification,270,41,202358.96477251555
semnasnet_100_classification,270,42,429193.42601287784
semnasnet_100_classification,270,43,429193.42601287784
semnasnet_100_classification,270,44,202358.96477251555
semnasnet_100_classification,270,45,429193.42601287784
semnasnet_100_classification,270,46,202358.96477251555
semnasnet_100_classification,270,47,429193.42601287784
semnasnet_100_classification,270,48,429193.42601287784
semnasnet_100_classification,270,49,429193.42601287784
semnasnet_100_classification,270,50,429193.42601287784
semnasnet_100_classification,270,51,202358.96477251555
semnasnet_100_classification,270,52,429193.42601287784
semnasnet_100_classification,270,53,429193.42601287784
semnasnet_100_classification,270,54,429193.42601287784
semnasnet_100_classification,270,55,429193.42601287784
semnasnet_100_classification,270,56,429193.42601287784
semnasnet_100_classification,270,57,202358.96477251555
semnasnet_100_classification,270,58,429193.42601287784
semnasnet_100_classification,270,59,429193.42601287784
semnasnet_100_classification,270,60,429193.42601287784
semnasnet_100_classification,270,61,429193.42601287784
semnasnet_100_classification,270,62,429193.42601287784
semnasnet_100_classification,270,63,429193.42601287784
semnasnet_100_classification,270,64,429193.42601287784
semnasnet_100_classification,270,65,429193.42601287784
semnasnet_100_classification,270,66,429193.42601287784
semnasnet_100_classification,270,67,429193.42601287784
semnasnet_100_classification,270,68,429193.42601287784
semnasnet_100_classification,270,69,429193.42601287784
semnasnet_100_classification,270,70,429193.42601287784
semnasnet_100_classification,270,71,429193.42601287784
semnasnet_100_classification,270,72,429193.42601287784
semnasnet_100_classification,270,73,429193.42601287784
semnasnet_100_classification,270,74,429193.42601287784
semnasnet_100_classification,270,75,429193.42601287784
semnasnet_100_classification,270,76,910298.1779915227
semnasnet_100_classification,270,77,429193.42601287784
semnasnet_100_classification,270,78,910298.1779915227
semnasnet_100_classification,270,79,429193.42601287784
semnasnet_100_classification,270,80,429193.42601287784
semnasnet_100_classification,270,81,429193.42601287784
semnasnet_100_classification,270,82,429193.42601287784
semnasnet_100_classification,270,83,429193.42601287784
semnasnet_100_classification,270,84,429193.42601287784
semnasnet_100_classification,270,85,429193.42601287784
semnasnet_100_classification,270,86,910298.1779915227
semnasnet_100_classification,270,87,429193.42601287784
semnasnet_100_classification,270,88,910298.1779915227
semnasnet_100_classification,270,89,910298.1779915227
semnasnet_100_classification,270,90,429193.42601287784
semnasnet_100_classification,270,91,910298.1779915227
semnasnet_100_classification,270,92,429193.42601287784
semnasnet_100_classification,270,93,429193.42601287784
semnasnet_100_classification,270,94,429193.42601287784
semnasnet_100_classification,270,95,429193.42601287784
semnasnet_100_classification,270,96,429193.42601287784
semnasnet_100_classification,270,97,910298.1779915227
semnasnet_100_classification,270,98,429193.42601287784
cspresnet50_classification,320,1,202358.96477251555
cspresnet50_classification,320,2,95409.54763499944
cspresnet50_classification,320,3,44984.32668969444
cspresnet50_classification,320,4,95409.54763499944
cspresnet50_classification,320,5,44984.32668969444
cspresnet50_classification,320,6,95409.54763499944
cspresnet50_classification,320,7,95409.54763499944
cspresnet50_classification,320,8,95409.54763499944
cspresnet50_classification,320,9,202358.96477251555
cspresnet50_classification,320,10,202358.96477251555
cspresnet50_classification,320,11,95409.54763499944
cspresnet50_classification,320,12,202358.96477251555
cspresnet50_classification,320,13,95409.54763499944
cspresnet50_classification,320,14,202358.96477251555
cspresnet50_classification,320,15,202358.96477251555
cspresnet50_classification,320,16,202358.96477251555
cspresnet50_classification,320,17,95409.54763499944
cspresnet50_classification,320,18,202358.96477251555
cspresnet50_classification,320,19,202358.96477251555
cspresnet50_classification,320,20,95409.54763499944
cspresnet50_classification,320,21,202358.96477251555
cspresnet50_classification,320,22,202358.96477251555
cspresnet50_classification,320,23,429193.42601287784
cspresnet50_classification,320,24,202358.96477251555
cspresnet50_classification,320,25,202358.96477251555
cspresnet50_classification,320,26,429193.42601287784
cspresnet50_classification,320,27,202358.96477251555
cspresnet50_classification,320,28,202358.96477251555
cspresnet50_classification,320,29,95409.54763499944
cspresnet50_classification,320,30,429193.42601287784
cspresnet50_classification,320,31,202358.96477251555
cspresnet50_classification,320,32,202358.96477251555
cspresnet50_classification,320,33,95409.54763499944
cspresnet50_classification,320,34,202358.96477251555
cspresnet50_classification,320,35,95409.54763499944
cspresnet50_classification,320,36,95409.54763499944
cspresnet50_classification,320,37,429193.42601287784
cspresnet50_classification,320,38,95409.54763499944
