model_name,layer_index,pc_index,alpha
hardcorenas_f_classification,294,103,10000.0
hardcorenas_f_classification,294,104,10000.0
hardcorenas_f_classification,294,105,10000.0
hardcorenas_f_classification,294,106,10000.0
hardcorenas_f_classification,294,107,10000.0
hardcorenas_f_classification,294,108,10000.0
hardcorenas_f_classification,294,109,10000.0
hardcorenas_f_classification,294,110,21209.508879201927
hardcorenas_f_classification,294,111,21209.508879201927
hardcorenas_f_classification,294,112,10000.0
hardcorenas_f_classification,294,113,10000.0
hardcorenas_f_classification,294,114,10000.0
hardcorenas_f_classification,294,115,10000.0
hardcorenas_f_classification,294,116,21209.508879201927
hardcorenas_f_classification,294,117,10000.0
hardcorenas_f_classification,294,118,10000.0
hardcorenas_f_classification,294,119,10000.0
hardcorenas_f_classification,294,120,10000.0
hardcorenas_f_classification,294,121,21209.508879201927
hardcorenas_f_classification,294,122,10000.0
hardcorenas_f_classification,294,123,10000.0
hardcorenas_f_classification,294,124,10000.0
hardcorenas_f_classification,294,125,10000.0
hardcorenas_f_classification,294,126,10000.0
hardcorenas_f_classification,294,127,10000.0
hardcorenas_f_classification,294,128,10000.0
hardcorenas_f_classification,294,129,10000.0
hardcorenas_f_classification,294,130,10000.0
hardcorenas_f_classification,294,131,10000.0
hardcorenas_f_classification,294,132,21209.508879201927
hardcorenas_f_classification,294,133,10000.0
hardcorenas_f_classification,294,134,21209.508879201927
hardcorenas_f_classification,294,135,21209.508879201927
hardcorenas_f_classification,294,136,10000.0
hardcorenas_f_classification,294,137,21209.508879201927
hardcorenas_f_classification,294,138,21209.508879201927
hardcorenas_f_classification,294,139,10000.0
hardcorenas_f_classification,294,140,10000.0
hardcorenas_f_classification,294,141,10000.0
hardcorenas_f_classification,294,142,10000.0
hardcorenas_f_classification,294,143,21209.508879201927
hardcorenas_f_classification,294,144,21209.508879201927
hardcorenas_f_classification,294,145,10000.0
hardcorenas_f_classification,294,146,10000.0
hardcorenas_f_classification,294,147,21209.508879201927
hardcorenas_f_classification,294,148,10000.0
hardcorenas_f_classification,294,149,10000.0
hardcorenas_f_classification,294,150,10000.0
hardcorenas_f_classification,294,151,10000.0
hardcorenas_f_classification,294,152,10000.0
hardcorenas_f_classification,294,153,21209.508879201927
hardcorenas_f_classification,294,154,10000.0
hardcorenas_f_classification,294,155,21209.508879201927
hardcorenas_f_classification,294,156,10000.0
hardcorenas_f_classification,294,157,21209.508879201927
hardcorenas_f_classification,294,158,10000.0
hardcorenas_f_classification,294,159,10000.0
hardcorenas_f_classification,294,160,10000.0
hardcorenas_f_classification,294,161,21209.508879201927
hardcorenas_f_classification,294,162,10000.0
hardcorenas_f_classification,294,163,10000.0
hardcorenas_f_classification,294,164,10000.0
hardcorenas_f_classification,294,165,10000.0
hardcorenas_f_classification,294,166,10000.0
hardcorenas_f_classification,294,167,10000.0
hardcorenas_f_classification,294,168,21209.508879201927
hardcorenas_f_classification,294,169,10000.0
hardcorenas_f_classification,294,170,10000.0
hardcorenas_f_classification,294,171,10000.0
hardcorenas_f_classification,294,172,10000.0
hardcorenas_f_classification,294,173,10000.0
hardcorenas_f_classification,294,174,21209.508879201927
hardcorenas_f_classification,294,175,10000.0
hardcorenas_f_classification,294,176,10000.0
hardcorenas_f_classification,294,177,21209.508879201927
hardcorenas_f_classification,294,178,21209.508879201927
hardcorenas_f_classification,294,179,10000.0
hardcorenas_f_classification,294,180,10000.0
hardcorenas_f_classification,294,181,21209.508879201927
hardcorenas_f_classification,294,182,21209.508879201927
hardcorenas_f_classification,294,183,10000.0
hardcorenas_f_classification,294,184,10000.0
hardcorenas_f_classification,294,185,10000.0
hardcorenas_f_classification,294,186,10000.0
hardcorenas_f_classification,294,187,21209.508879201927
hardcorenas_f_classification,294,188,10000.0
hardcorenas_f_classification,294,189,21209.508879201927
hardcorenas_f_classification,294,190,21209.508879201927
hardcorenas_f_classification,294,191,10000.0
hardcorenas_f_classification,294,192,21209.508879201927
hardcorenas_f_classification,294,193,21209.508879201927
hardcorenas_f_classification,294,194,21209.508879201927
hardcorenas_f_classification,294,195,10000.0
hardcorenas_f_classification,294,196,10000.0
hardcorenas_f_classification,294,197,10000.0
hardcorenas_f_classification,294,198,10000.0
hardcorenas_f_classification,294,199,10000.0
hardcorenas_f_classification,294,200,10000.0
eca_nfnet_l0_classification,134,1,202358.96477251555
eca_nfnet_l0_classification,134,2,95409.54763499944
eca_nfnet_l0_classification,134,3,95409.54763499944
eca_nfnet_l0_classification,134,4,95409.54763499944
eca_nfnet_l0_classification,134,5,95409.54763499944
eca_nfnet_l0_classification,134,6,95409.54763499944
eca_nfnet_l0_classification,134,7,202358.96477251555
eca_nfnet_l0_classification,134,8,429193.42601287784
eca_nfnet_l0_classification,134,9,95409.54763499944
eca_nfnet_l0_classification,134,10,95409.54763499944
eca_nfnet_l0_classification,134,11,95409.54763499944
eca_nfnet_l0_classification,134,12,95409.54763499944
eca_nfnet_l0_classification,134,13,202358.96477251555
eca_nfnet_l0_classification,134,14,202358.96477251555
eca_nfnet_l0_classification,134,15,95409.54763499944
eca_nfnet_l0_classification,134,16,202358.96477251555
eca_nfnet_l0_classification,134,17,202358.96477251555
