swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
target,430,430,50,55,thin_pid,0.20871215252207861,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,16.15490142814815,2.909438414633314e-06
target,430,430,50,55,eigen_pid,0.20871215252207861,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.3441305549349636,0.0
target,440,440,50,55,gpid_tilde,0.20871215252207784,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,221.0408753361553,2.9094347482327976e-06
target,440,440,50,55,thin_pid,0.20871215252207784,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,16.175599111942574,2.909438414633314e-06
target,440,440,50,55,eigen_pid,0.20871215252207784,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.6313463980332017,0.0
target,450,450,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,233.58628970896825,2.9094347482327976e-06
target,450,450,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,16.884896494913846,2.909438414633314e-06
target,450,450,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.4621807800140232,0.0
target,460,460,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,247.92481678095646,2.9094347482327976e-06
target,460,460,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,17.25161334592849,2.909438414633314e-06
target,460,460,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.452849610010162,0.0
target,470,470,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,261.5938438279554,2.9094347482327976e-06
target,470,470,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,17.553686438128352,2.909438414633314e-06
target,470,470,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.8771993699483573,0.0
target,480,480,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,288.2573456480168,2.9094347482327976e-06
target,480,480,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,18.026617134921253,2.909438414633314e-06
target,480,480,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.8051503889728338,0.0
target,490,490,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,306.23283694288693,2.9094347482327976e-06
target,490,490,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,20.33697403385304,2.909438414633314e-06
target,490,490,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.3969261879101396,0.0
target,500,500,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,299.50582909816876,2.9094347482327976e-06
target,500,500,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,18.56010614382103,2.909438414633314e-06
target,500,500,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.5878156239632517,0.0
target,510,510,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,309.0582771298941,2.9094347482327976e-06
target,510,510,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,18.979920006124303,2.909438414633314e-06
target,510,510,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.7780244359746575,0.0
target,520,520,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,311.79985570604913,2.9094347482327976e-06
target,520,520,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,19.58897867705673,2.909438414633314e-06
target,520,520,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,2.1370076939929277,0.0
target,530,530,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,320.22387198591605,2.9094347482327976e-06
target,530,530,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,19.51160388602875,2.909438414633314e-06
target,530,530,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.5204995600506663,0.0
target,540,540,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,328.0228377939202,2.9094347482327976e-06
target,540,540,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,19.405985607998446,2.909438414633314e-06
target,540,540,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.5807106019929051,0.0
target,550,550,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,327.1398225990124,2.9094347482327976e-06
target,550,550,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,19.75573473307304,2.909438414633314e-06
target,550,550,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.9477989641018212,0.0
target,560,560,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,335.77286707796156,2.9094347482327976e-06
target,560,560,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,19.745007805060595,2.909438414633314e-06
target,560,560,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.9921269931364805,0.0
target,570,570,50,55,gpid_tilde,0.20871215252207853,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,341.0198140181601,2.9094347482327976e-06
target,570,570,50,55,thin_pid,0.20871215252207853,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,20.15570019511506,2.909438414633314e-06
target,570,570,50,55,eigen_pid,0.20871215252207853,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.8348921269644052,0.0
